shop_id,shop_area_sq_ft,shop_profile,quantity_sold,tot_sales_amount,customer_id,invoice_id,transaction_date,BOTTLED DRINKING WATER 1.5L,BOTTLED DRINKING WATER 500ML,CHOCOLATE MILK 180ML,CREAM SODA 1.5L,CREAM SODA 1L,CREAM SODA 500ML,CREAM SODA APPLE POP 1L,DRY GINGER ALE PET 500ML,FIT O MANGO 1L,FIT O MANGO 200ML,FIT O MIXED FRUIT 1L,FIT O MIXED FRUIT 200ML,FIT O ORANGE 1L,FIT O ORANGE 200ML,GINGER BEER 1.5L,GINGER BEER 1L,GINGER BEER 400ML,GINGER BEER 500ML,GINGER BEER SUGAR FREE 500ML,KIK COLA 1L,LEMONADE 1.5L,LEMONADE 1L,LEMONADE 500ML,LIME CRUSH JUICE 1L,NECTO 1.5L,NECTO 1L,NECTO 500ML,ORANGE BARLEY 1.5L,ORANGE CRUSH 1.5L,ORANGE CRUSH 1L,ORANGE CRUSH 500ML,SODA 1L,SODA 500ML,SODA PET 1.5L,STRAWBERRY MILK 180ML,TONIC PET 500ML,TWISTEE APPLE 1L
SHOP047,528,Moderate,1692,842960,928,1303,62,86,146,0,249,28,281,71,8,66,87,31,49,66,263,306,189,51,90,26,7,41,19,31,0,102,6,25,113,59,47,39,88,274,126,69,116,33
SHOP009,676,High,4589,1970870,2498,3494,62,275,461,0,686,62,457,203,56,79,102,118,182,208,379,1018,552,69,260,102,30,194,15,113,0,338,24,79,333,175,17,109,145,1089,146,131,153,51
SHOP083,676,Low,3614,1691985,1900,2719,62,170,268,3,592,76,421,186,67,93,89,95,92,211,242,734,559,29,134,71,43,168,15,63,0,286,29,40,359,134,27,55,151,682,160,135,117,48
SHOP117,676,Low,4074,2325980,2037,3159,62,155,182,0,565,58,355,318,155,115,166,110,193,216,238,797,468,56,81,85,72,182,30,57,0,402,10,45,339,82,49,58,449,931,513,108,390,43
SHOP042,676,Low,3272,1340215,1841,2496,62,173,252,0,478,40,389,138,74,98,66,67,53,183,224,666,467,47,150,72,25,131,34,57,0,178,7,26,265,77,18,46,143,709,165,138,140,48
SHOP034,494,Low,2403,1309330,1312,1845,62,135,177,3,338,39,404,98,44,48,50,54,75,122,220,530,82,33,99,52,10,62,13,40,0,414,25,26,171,102,12,46,91,531,176,134,107,31
SHOP100,617,Moderate,4772,2946220,2496,3595,62,255,477,0,900,45,622,186,108,98,175,138,185,311,324,1161,342,28,194,102,25,333,21,105,0,606,10,62,530,160,38,62,174,783,286,240,233,50
SHOP057,423,Moderate,2729,1607630,1328,1987,62,165,254,5,339,34,299,102,68,84,81,63,51,196,232,403,497,43,165,106,34,209,15,59,0,183,24,13,205,64,31,23,196,667,229,69,215,61
SHOP098,676,Low,4369,2525525,2055,3437,62,211,280,0,1074,28,431,231,103,75,124,123,210,209,278,1153,390,56,181,71,31,121,30,50,0,617,15,30,691,124,22,52,226,644,184,221,122,41
SHOP123,735,Moderate,2071,989775,1159,1609,62,155,137,11,312,24,243,103,27,60,27,45,73,138,141,458,191,24,107,55,14,72,11,40,0,150,12,27,146,67,12,33,114,403,94,188,102,36
